Anglican Nonconformist
credible incredible
credibly incredibly
credit cash
credit debit
creditor debtor
credulous incredulous
credulously incredulously
crescendo decrescendo
criminalisation decriminalisation
criminalise decriminalise
criminalization decriminalization
criminalize decriminalize
critical noncritical
critical uncritical
critically uncritically
criticize praise
crooked straight
crookedness straightness
cross uncross
cross-eyed walleyed
cross-fertilization self-fertilization
cross-pollination self-pollination
crossbred purebred
crossed uncrossed
crosswise lengthwise
crowded uncrowded
crowned uncrowned
crucial noncrucial
cry laugh
crystalline noncrystalline
crystallized uncrystallized
cubic linear
cubic planar
cultivated uncultivated
cultivated_plant weed
curability incurability
curable incurable
curableness incurableness
curdle homogenise
curdle homogenize
curious incurious
curliness straightness
curly straight
current noncurrent
curse bless
cursed blessed
cursorial fossorial
curtained curtainless
curtainless curtained
curve straight_line
curved straight
custom-made ready-made
cut uncut
cyclic acyclic
cyclic noncyclic
cyclone anticyclone
dabbling_duck diving_duck
damaged undamaged
danger safety
dangerous safe
dangerousness safeness
dark light
darken brighten
darken lighten
darkness lightness
datable undatable
daughter son
day night
day_game night_game
day_school boarding_school
day_school night_school
de-energise energise
de-energize energize
de-escalate escalate
de-iodinate iodinate
de-iodinating iodinating
de-ionate ionate
de_facto de_jure
de_jure de_facto
deactivation activation
dead alive
dead live
dead living
deaden enliven
deaf hearing
death birth
debilitating invigorating
debit credit
debtor creditor
decalcify calcify
deceive undeceive
decelerate accelerate
deceleration acceleration
decency indecency
decent indecent
decently indecently
decentralization centralization
decentralize centralise
decentralize centralize
decentralized centralized
decentralizing centralizing
decertify certify
deciduous evergreen
deciduous_plant evergreen_plant
deciphered undeciphered
decision indecision
decisive indecisive
decisively indecisively
decisiveness indecisiveness
declarative interrogative
declaratory interrogatory
declared undeclared
declassification classification
declassify classify
decline improvement
decode encode
decolonise colonise
decolonize colonize
decompress compress
decompression compression
deconcentrate concentrate
decontaminate contaminate
decontamination contamination
decorous indecorous
decorously indecorously
decorousness indecorousness
decorum indecorum
decrease increase
decreased increased
decreasing increasing
decrement increment
decrescendo crescendo
decriminalisation criminalisation
decriminalise criminalise
decriminalization criminalization
decriminalize criminalize
dedicated undedicated
dedicated_file_server non-dedicated_file_server
dedifferentiate differentiate
deductible nondeductible
deductive inductive
deep shallow
deepness shallowness
default pay_up
defeasible indefeasible
defeat victory
defeated undefeated
defence offence
defend attack
defend prosecute
defendant plaintiff
defense offense
defense prosecution
defensive offensive
defensively offensively
defiant compliant
deficit lead
defined undefined
definite indefinite
deflate inflate
deflation disinflation
deflation inflation
deflationary inflationary
deflationary_spiral inflationary_spiral
defuse fuse
defy lend_oneself
deglycerolize glycerolize
degrade aggrade
dehiscent indehiscent
dehumanize humanize
dehumidify humidify
dehydrate hydrate
dehydrogenate hydrogenate
dejected elated
delay rush
deliberately accidentally
delicate rugged
delineated undelineated
demagnetise magnetise
demagnetize magnetize
demand supply
demanding undemanding
dematerialise materialise
dematerialize materialize
demerit merit
demilitarise militarise
demilitarize militarize
demobilise mobilise
demobilization mobilization
demobilize mobilize
democratic undemocratic
democratically undemocratically
demonetization monetization
demonstrative undemonstrative
demote promote
demotion promotion
demulsify emulsify
demystify mystify
demythologize mythologize
denationalise nationalise
denationalization nationalization
denationalize nationalize
denaturalize naturalize
denazify nazify
deniable undeniable
denitrify nitrify
denotative connotative
deny admit
deny allow
deodorize odorize
deodourise odourise
deoxidise oxidise
deoxidize oxidize
depart stay
dependability undependability
dependable undependable
dependableness undependableness
dependably undependably
dependent independent
depersonalise personalise
depersonalize personalize
depigmentation pigmentation
deposit withdraw
depreciate appreciate
depreciation appreciation
depress elate
depressant stimulative
depressing cheerful
depression elation
depressurise pressurise
depressurize pressurize
deprive enrich
deregulate regulate
derequisition requisition
derestrict restrict
derivational inflectional
derived underived
desalinate salinate
descend ascend
descendant ancestor
descending ascending
descending_node ascending_node
descent ascent
descriptive prescriptive
descriptive undescriptive
descriptive_linguistics prescriptive_linguistics
desecrate consecrate
desecrated consecrated
desegregate segregate
desensitise sensitise
desensitize sensitize
desensitizing sensitizing
deservedly undeservedly
designed undesigned
desirability undesirability
desirable undesirable
desirous undesirous
despair hope
destabilisation stabilisation
destabilise stabilise
destabilise stabilize
destabilization stabilization
destabilize stabilize
destalinize stalinize
destroyed preserved
destructibility indestructibility
destructible indestructible
destructive constructive
destructiveness constructiveness
desynchronise synchronise
desynchronization synchronization
desynchronize synchronize
desynchronizing synchronizing
detach attach
detachable attachable
detached attached
detected undetected
deteriorate recuperate
determinable indeterminable
determinate indeterminate
determined undetermined
dethrone enthrone
detransitivize transitivize
detribalisation tribalisation
detribalization tribalization
developed undeveloped
development nondevelopment
deviate conform
devitalize vitalize
devoice voice
devolution evolution
dextral sinistral
dextrorotation levorotation
diabatic adiabatic
diachronic synchronic
diadromous anadromous
diadromous catadromous
diapsid anapsid
diatonic chromatic
diclinous monoclinous
dicotyledonous monocotyledonous
die be_born
differ equal
difference sameness
different same
differentiate dedifferentiate
differentiate integrate
differentiated undifferentiated
difficult easy
difficulty ease
diffidence confidence
diffident confident
digestibility indigestibility
digestible indigestible
digital analogue
digitigrade plantigrade
digitigrade_mammal plantigrade_mammal
dignified undignified
diligent negligent
diluted undiluted
dilution concentration
diminution augmentation
dimmed undimmed
dioecious monoecious
diploid haploid
diploid polyploid
diplomatic undiplomatic
diplomatically undiplomatically
direct alternating
direct indirect
direct inverse
direct retrograde
direct_current alternating_current
direct_discourse indirect_discourse
direct_evidence circumstantial_evidence
directional omnidirectional
directly indirectly
directness indirectness
dirtiness cleanness
dirty clean
disable enable
disabling enabling
disadvantage advantage
disadvantageous advantageous
disadvantageously advantageously
disagree agree
disagreeable agreeable
disagreeableness agreeableness
disagreeably agreeably
disagreement agreement
disallow allow
disappear appear
disappearance appearance
disapprobation approbation
disapproval approval
disapprove approve
disapprovingly approvingly
disarm arm
disarmament armament
disarming arming
disarrange arrange
disarranged arranged
disassemble assemble
disassembly assembly
disassociation association
disassortative_mating assortative_mating
disavow avow
disbelieve believe
discalced calced
discernible indiscernible
discerning undiscerning
discharge charge
discharge enlist
discipline indiscipline
disclaim claim
discolor color
discomfort comfort
discomposed composed
discomposure composure
disconnect connect
disconnectedness connectedness
discontent content
discontented contented
discontentment contentment
discontinuance continuance
discontinuation continuation
discontinue continue
discontinued continued
discontinuity continuity
discontinuous continuous
discordant accordant
discourage encourage
discouragement encouragement
discouraging encouraging
discouragingly encouragingly
discourteous courteous
discourteously courteously
discourtesy courtesy
discreet indiscreet
discreetly indiscreetly
discriminate indiscriminate
discriminating undiscriminating
disembark embark
disembarkation embarkation
disembarrassment embarrassment
disenchant enchant
disenchanted enchanted
disenfranchise enfranchise
disenfranchised enfranchised
disenfranchisement enfranchisement
disengage engage
disentangle entangle
disequilibrium equilibrium
disesteem esteem
disfluency fluency
dishearten hearten
dishonest honest
dishonestly honestly
dishonesty honesty
dishonor honor
dishonorable honorable
dishonorableness honorableness
dishonorably honorably
disincarnate incarnate
disincentive incentive
disinclination inclination
disinclined inclined
disinfect infect
disinflation deflation
disinflation inflation
disingenuous ingenuous
disingenuousness ingenuousness
disinherit bequeath
disintegrate integrate
disintegrative integrative
disjoin join
disjunct conjunct
disjunctive conjunctive
dislike like
dislike liking
disliked liked
